media_id,frame_nr,class_0,p_0,class_1,p_1,class_2,p_2,class_3,p_3,class_4,p_4,class_5,p_5,class_6,p_6,class_7,p_7,class_8,p_8,class_9,p_9
QJO3ROT-A4E,93,convertible,0.7643076181411743,pickup,0.014899736270308495,sports_car,0.008907443843781948,beach_wagon,0.00453295698389411,amphibian,0.003656933782622218,limousine,0.0033069043420255184,car_wheel,0.0019806327763944864,racer,0.0019301983993500471,cab,0.0019080975325778127,Model_T,0.0017916151555255055
QJO3ROT-A4E,19,seashore,0.40571460127830505,promontory,0.1565398871898651,sandbar,0.07088032364845276,leatherback_turtle,0.02013659104704857,beacon,0.013502362184226513,cliff,0.012344665825366974,breakwater,0.011389881372451782,swimming_trunks,0.010192354209721088,sea_lion,0.010079827159643173,loggerhead,0.007793109398335218
QJO3ROT-A4E,88,oboe,0.05806269124150276,swing,0.05160650610923767,gar,0.03203054144978523,bassoon,0.02863888069987297,swimming_trunks,0.026564816012978554,barracouta,0.019304370507597923,seashore,0.01838279515504837,leatherback_turtle,0.017374763265252113,sarong,0.016945606097579002,puffer,0.01685980148613453
QJO3ROT-A4E,27,seashore,0.03878533095121384,bikini,0.038231443613767624,maillot,0.03127821162343025,sunscreen,0.02960124798119068,rock_crab,0.027683109045028687,barracouta,0.018552077934145927,tench,0.01548754796385765,maillot,0.011893396265804768,sarong,0.011696229688823223,American_lobster,0.011546525172889233
QJO3ROT-A4E,107,military_uniform,0.10287550091743469,flute,0.03922475501894951,horizontal_bar,0.03460123762488365,balance_beam,0.030876779928803444,violin,0.027193212881684303,basketball,0.02183319628238678,swing,0.017806341871619225,bannister,0.016568714752793312,solar_dish,0.016504937782883644,prison,0.016320519149303436
QJO3ROT-A4E,14,minibus,0.43490687012672424,jeep,0.14560353755950928,seashore,0.05264042317867279,minivan,0.025151629000902176,sandbar,0.021606285125017166,pickup,0.016787264496088028,recreational_vehicle,0.0164839755743742,cliff,0.012681986205279827,promontory,0.011637406423687935,beach_wagon,0.010754905641078949
QJO3ROT-A4E,89,jersey,0.13573907315731049,barracouta,0.022504406049847603,gar,0.022392965853214264,seashore,0.017366783693432808,neck_brace,0.01337470207363367,tench,0.013146781362593174,sturgeon,0.011677686125040054,torch,0.011643729172647,puffer,0.011439778842031956,leatherback_turtle,0.007808479014784098
QJO3ROT-A4E,80,cowboy_hat,0.13356302678585052,neck_brace,0.047477997839450836,mosquito_net,0.04231377691030502,sombrero,0.03758029639720917,oxygen_mask,0.026765620335936546,shower_cap,0.022468240931630135,sunglass,0.021680772304534912,sunglasses,0.020106863230466843,seat_belt,0.014499367214739323,sturgeon,0.012907366268336773
QJO3ROT-A4E,9,violin,0.06913839280605316,space_bar,0.06341425329446793,cello,0.04843786358833313,bow,0.03919677063822746,upright,0.03612523898482323,harmonica,0.03414801508188248,assault_rifle,0.027704600244760513,accordion,0.021955441683530807,seat_belt,0.01804373227059841,tape_player,0.017272256314754486
QJO3ROT-A4E,45,minibus,0.5273976922035217,seashore,0.043090760707855225,minivan,0.04101576283574104,jeep,0.033206596970558167,cliff,0.029749996960163116,trolleybus,0.01837540790438652,recreational_vehicle,0.01369024533778429,promontory,0.009477964602410793,pickup,0.008638378232717514,sandbar,0.00843055546283722
QJO3ROT-A4E,35,minivan,0.104179248213768,oxygen_mask,0.0361405573785305,tank,0.034966517239809036,jeep,0.034661419689655304,car_mirror,0.029055697843432426,recreational_vehicle,0.017967235296964645,plastic_bag,0.017495673149824142,car_wheel,0.01490603294223547,ambulance,0.01429357472807169,stretcher,0.01406480185687542
QJO3ROT-A4E,20,seashore,0.4519956409931183,promontory,0.1183091253042221,sandbar,0.08157609403133392,leatherback_turtle,0.02202281542122364,swimming_trunks,0.013647985644638538,breakwater,0.009563284926116467,beacon,0.009259323589503765,cliff,0.00910464208573103,sea_lion,0.008642717264592648,loggerhead,0.008167888037860394
QJO3ROT-A4E,81,maillot,0.4767345190048218,bikini,0.10788949579000473,wig,0.08721044659614563,sarong,0.04989568144083023,maillot,0.021740511059761047,quill,0.017712092027068138,miniskirt,0.008364864625036716,brassiere,0.007816573604941368,hoopskirt,0.0058313882909715176,gown,0.005636247806251049
QJO3ROT-A4E,59,pajama,0.08879312872886658,stole,0.06275767832994461,sunglass,0.023103933781385422,bikini,0.022786961868405342,seat_belt,0.01585955172777176,ping-pong_ball,0.015515439212322235,cowboy_hat,0.015081333927810192,sunglasses,0.014379717409610748,hair_slide,0.01278399396687746,ice_lolly,0.01091146282851696
QJO3ROT-A4E,94,sombrero,0.34741726517677307,bikini,0.13670970499515533,seashore,0.03775783255696297,maillot,0.03409337252378464,brassiere,0.02849632315337658,sarong,0.024488959461450577,sunscreen,0.019677432253956795,cowboy_hat,0.011594153940677643,rifle,0.007817326113581657,sandbar,0.00744591886177659
